"tg","N","prob","w1","w2","w3"
"a combination of",27,1.15554737637248e-05,"a","combination","of"
"a comment on",6,2.56788305860551e-06,"a","comment","on"
"a commitment to",5,2.13990254883793e-06,"a","commitment","to"
"a community of",5,2.13990254883793e-06,"a","community","of"
"a company that",8,3.42384407814068e-06,"a","company","that"
"a completely different",8,3.42384407814068e-06,"a","completely","different"
"a conference call",5,2.13990254883793e-06,"a","conference","call"
"a connection with",5,2.13990254883793e-06,"a","connection","with"
"a constitutional amendment",5,2.13990254883793e-06,"a","constitutional","amendment"
"a contract that",7,2.9958635683731e-06,"a","contract","that"
"a conversation with",11,4.70778560744344e-06,"a","conversation","with"
"a copy of",30,1.28394152930276e-05,"a","copy","of"
"a cost of",5,2.13990254883793e-06,"a","cost","of"
"a country where",7,2.9958635683731e-06,"a","country","where"
"a couple days",11,4.70778560744344e-06,"a","couple","days"
"a couple hours",7,2.9958635683731e-06,"a","couple","hours"
"a couple hundred",5,2.13990254883793e-06,"a","couple","hundred"
"a couple months",8,3.42384407814068e-06,"a","couple","months"
"a couple more",9,3.85182458790827e-06,"a","couple","more"
"a couple of",235,0.000100575419795383,"a","couple","of"
"a couple things",5,2.13990254883793e-06,"a","couple","things"
"a couple weeks",15,6.41970764651378e-06,"a","couple","weeks"
"a couple years",7,2.9958635683731e-06,"a","couple","years"
"a court order",8,3.42384407814068e-06,"a","court","order"
"a cover of",5,2.13990254883793e-06,"a","cover","of"
"a credit card",8,3.42384407814068e-06,"a","credit","card"
"a crowd of",6,2.56788305860551e-06,"a","crowd","of"
"a crush on",5,2.13990254883793e-06,"a","crush","on"
"a culture of",6,2.56788305860551e-06,"a","culture","of"
"a cup of",19,8.13162968558412e-06,"a","cup","of"
"a cure for",5,2.13990254883793e-06,"a","cure","for"
"a daily basis",15,6.41970764651378e-06,"a","daily","basis"
"a dash of",6,2.56788305860551e-06,"a","dash","of"
"a day after",6,2.56788305860551e-06,"a","day","after"
"a day and",13,5.56374662697861e-06,"a","day","and"
"a day for",10,4.27980509767585e-06,"a","day","for"
"a day in",13,5.56374662697861e-06,"a","day","in"
"a day of",13,5.56374662697861e-06,"a","day","of"
"a day off",6,2.56788305860551e-06,"a","day","off"
"a day or",9,3.85182458790827e-06,"a","day","or"
"a day to",17,7.27566866604895e-06,"a","day","to"
"a deadly weapon",6,2.56788305860551e-06,"a","deadly","weapon"
"a deal that",6,2.56788305860551e-06,"a","deal","that"
"a deal to",8,3.42384407814068e-06,"a","deal","to"
"a deal with",9,3.85182458790827e-06,"a","deal","with"
"a decade ago",11,4.70778560744344e-06,"a","decade","ago"
"a decade later",5,2.13990254883793e-06,"a","decade","later"
"a decade of",6,2.56788305860551e-06,"a","decade","of"
"a decision by",5,2.13990254883793e-06,"a","decision","by"
"a decision that",5,2.13990254883793e-06,"a","decision","that"
"a decline in",5,2.13990254883793e-06,"a","decline","in"
"a deep breath",9,3.85182458790827e-06,"a","deep","breath"
"a degree in",7,2.9958635683731e-06,"a","degree","in"
"a dent in",5,2.13990254883793e-06,"a","dent","in"
"a desire to",10,4.27980509767585e-06,"a","desire","to"
"a difference between",6,2.56788305860551e-06,"a","difference","between"
"a difference in",12,5.13576611721102e-06,"a","difference","in"
"a different place",5,2.13990254883793e-06,"a","different","place"
"a different story",8,3.42384407814068e-06,"a","different","story"
"a different way",10,4.27980509767585e-06,"a","different","way"
"a director of",8,3.42384407814068e-06,"a","director","of"
"a discussion of",5,2.13990254883793e-06,"a","discussion","of"
"a disease that",5,2.13990254883793e-06,"a","disease","that"
"a dream come",9,3.85182458790827e-06,"a","dream","come"
"a dream that",8,3.42384407814068e-06,"a","dream","that"
"a drop in",8,3.42384407814068e-06,"a","drop","in"
"a era in",13,5.56374662697861e-06,"a","era","in"
"a facebook page",6,2.56788305860551e-06,"a","facebook","page"
"a fact that",7,2.9958635683731e-06,"a","fact","that"
"a factor in",6,2.56788305860551e-06,"a","factor","in"
"a family and",6,2.56788305860551e-06,"a","family","and"
"a family member",7,2.9958635683731e-06,"a","family","member"
"a family of",13,5.56374662697861e-06,"a","family","of"
"a fan and",5,2.13990254883793e-06,"a","fan","and"
"a fan of",33,1.41233568223303e-05,"a","fan","of"
"a fantastic day",6,2.56788305860551e-06,"a","fantastic","day"
"a favor and",8,3.42384407814068e-06,"a","favor","and"
"a federal judge",7,2.9958635683731e-06,"a","federal","judge"
"a feeling of",8,3.42384407814068e-06,"a","feeling","of"
"a feeling that",9,3.85182458790827e-06,"a","feeling","that"
"a few and",6,2.56788305860551e-06,"a","few","and"
"a few blocks",7,2.9958635683731e-06,"a","few","blocks"
"a few days",66,2.82467136446606e-05,"a","few","days"
"a few friends",6,2.56788305860551e-06,"a","few","friends"
"a few games",6,2.56788305860551e-06,"a","few","games"
"a few good",7,2.9958635683731e-06,"a","few","good"
"a few hours",37,1.58352788614007e-05,"a","few","hours"
"a few hundred",5,2.13990254883793e-06,"a","few","hundred"
"a few miles",5,2.13990254883793e-06,"a","few","miles"
"a few minutes",46,1.96871034493089e-05,"a","few","minutes"
"a few moments",5,2.13990254883793e-06,"a","few","moments"
"a few months",36,1.54072983516331e-05,"a","few","months"
"a few more",37,1.58352788614007e-05,"a","few","more"
"a few new",7,2.9958635683731e-06,"a","few","new"
"a few of",41,1.7547200900471e-05,"a","few","of"
"a few other",12,5.13576611721102e-06,"a","few","other"
"a few people",12,5.13576611721102e-06,"a","few","people"
"a few pieces",7,2.9958635683731e-06,"a","few","pieces"
"a few questions",7,2.9958635683731e-06,"a","few","questions"
"a few seconds",7,2.9958635683731e-06,"a","few","seconds"
"a few things",23,9.84355172465446e-06,"a","few","things"
"a few thousand",5,2.13990254883793e-06,"a","few","thousand"
"a few times",35,1.49793178418655e-05,"a","few","times"
"a few to",6,2.56788305860551e-06,"a","few","to"
"a few weeks",63,2.69627721153579e-05,"a","few","weeks"
"a few years",64,2.73907526251255e-05,"a","few","years"
"a film about",5,2.13990254883793e-06,"a","film","about"
"a first round",5,2.13990254883793e-06,"a","first","round"
"a five year",15,6.41970764651378e-06,"a","five","year"
"a follow back",8,3.42384407814068e-06,"a","follow","back"
"a follow up",7,2.9958635683731e-06,"a","follow","up"
"a food processor",8,3.42384407814068e-06,"a","food","processor"
"a football player",5,2.13990254883793e-06,"a","football","player"
"a form of",16,6.84768815628136e-06,"a","form","of"
"a four year",6,2.56788305860551e-06,"a","four","year"
"a fraction of",9,3.85182458790827e-06,"a","fraction","of"
"a free agent",15,6.41970764651378e-06,"a","free","agent"
"a friend and",6,2.56788305860551e-06,"a","friend","and"
"a friend of",15,6.41970764651378e-06,"a","friend","of"
"a friend to",5,2.13990254883793e-06,"a","friend","to"
"a friend who",7,2.9958635683731e-06,"a","friend","who"
"a full blown",5,2.13990254883793e-06,"a","full","blown"
"a full day",8,3.42384407814068e-06,"a","full","day"
"a full time",13,5.56374662697861e-06,"a","full","time"
"a fun and",6,2.56788305860551e-06,"a","fun","and"
"a fun filled",5,2.13990254883793e-06,"a","fun","filled"
"a fun time",6,2.56788305860551e-06,"a","fun","time"
"a fun way",5,2.13990254883793e-06,"a","fun","way"
"a game changer",6,2.56788305860551e-06,"a","game","changer"
"a game of",10,4.27980509767585e-06,"a","game","of"
"a gang of",5,2.13990254883793e-06,"a","gang","of"
"a generation of",5,2.13990254883793e-06,"a","generation","of"
"a gift and",7,2.9958635683731e-06,"a","gift","and"
"a gift card",11,4.70778560744344e-06,"a","gift","card"
"a gift certificate",7,2.9958635683731e-06,"a","gift","certificate"
"a gift that",5,2.13990254883793e-06,"a","gift","that"
"a girl is",5,2.13990254883793e-06,"a","girl","is"
"a girl who",8,3.42384407814068e-06,"a","girl","who"
"a glass of",18,7.70364917581653e-06,"a","glass","of"
"a glimpse of",18,7.70364917581653e-06,"a","glimpse","of"
"a go to",5,2.13990254883793e-06,"a","go","to"
"a good book",7,2.9958635683731e-06,"a","good","book"
"a good chance",7,2.9958635683731e-06,"a","good","chance"
"a good choice",9,3.85182458790827e-06,"a","good","choice"
"a good day",60,2.56788305860551e-05,"a","good","day"
"a good deal",10,4.27980509767585e-06,"a","good","deal"
"a good example",8,3.42384407814068e-06,"a","good","example"
"a good feeling",6,2.56788305860551e-06,"a","good","feeling"
"a good friend",16,6.84768815628136e-06,"a","good","friend"
"a good guy",6,2.56788305860551e-06,"a","good","guy"
"a good idea",31,1.32673958027951e-05,"a","good","idea"
"a good job",20,8.5596101953517e-06,"a","good","job"
"a good look",6,2.56788305860551e-06,"a","good","look"
"a good man",6,2.56788305860551e-06,"a","good","man"
"a good mix",5,2.13990254883793e-06,"a","good","mix"
"a good movie",5,2.13990254883793e-06,"a","good","movie"
"a good night",8,3.42384407814068e-06,"a","good","night"
"a good number",5,2.13990254883793e-06,"a","good","number"
"a good one",36,1.54072983516331e-05,"a","good","one"
"a good person",5,2.13990254883793e-06,"a","good","person"
"a good place",13,5.56374662697861e-06,"a","good","place"
"a good read",5,2.13990254883793e-06,"a","good","read"
"a good show",6,2.56788305860551e-06,"a","good","show"
"a good sign",5,2.13990254883793e-06,"a","good","sign"
"a good spot",6,2.56788305860551e-06,"a","good","spot"
"a good start",13,5.56374662697861e-06,"a","good","start"
"a good story",7,2.9958635683731e-06,"a","good","story"
"a good thing",46,1.96871034493089e-05,"a","good","thing"
"a good time",36,1.54072983516331e-05,"a","good","time"
"a good way",18,7.70364917581653e-06,"a","good","way"
"a good week",9,3.85182458790827e-06,"a","good","week"
"a good weekend",11,4.70778560744344e-06,"a","good","weekend"
"a graduate of",10,4.27980509767585e-06,"a","graduate","of"
"a great birthday",8,3.42384407814068e-06,"a","great","birthday"
"a great book",8,3.42384407814068e-06,"a","great","book"
"a great day",104,4.45099730158289e-05,"a","great","day"
"a great deal",27,1.15554737637248e-05,"a","great","deal"
"a great event",12,5.13576611721102e-06,"a","great","event"
"a great feeling",6,2.56788305860551e-06,"a","great","feeling"
"a great friday",5,2.13990254883793e-06,"a","great","friday"
"a great game",8,3.42384407814068e-06,"a","great","game"
"a great guy",8,3.42384407814068e-06,"a","great","guy"
"a great idea",12,5.13576611721102e-06,"a","great","idea"
"a great job",21,8.98759070511929e-06,"a","great","job"
"a great lunch",6,2.56788305860551e-06,"a","great","lunch"
"a great mood",5,2.13990254883793e-06,"a","great","mood"
"a great new",6,2.56788305860551e-06,"a","great","new"
"a great night",15,6.41970764651378e-06,"a","great","night"
"a great one",18,7.70364917581653e-06,"a","great","one"
"a great opportunity",6,2.56788305860551e-06,"a","great","opportunity"
"a great place",12,5.13576611721102e-06,"a","great","place"
"a great resource",5,2.13990254883793e-06,"a","great","resource"
"a great season",7,2.9958635683731e-06,"a","great","season"
"a great show",9,3.85182458790827e-06,"a","great","show"
"a great start",7,2.9958635683731e-06,"a","great","start"
"a great time",52,2.22549865079144e-05,"a","great","time"
"a great way",18,7.70364917581653e-06,"a","great","way"
"a great week",17,7.27566866604895e-06,"a","great","week"
"a great weekend",49,2.09710449786117e-05,"a","great","weekend"
"a group of",64,2.73907526251255e-05,"a","group","of"
"a group that",8,3.42384407814068e-06,"a","group","that"
"a growing number",8,3.42384407814068e-06,"a","growing","number"
"a guy like",7,2.9958635683731e-06,"a","guy","like"
"a guy that",7,2.9958635683731e-06,"a","guy","that"
"a guy who",14,5.99172713674619e-06,"a","guy","who"
"a guy with",6,2.56788305860551e-06,"a","guy","with"
"a habit of",5,2.13990254883793e-06,"a","habit","of"
"a half dozen",6,2.56788305860551e-06,"a","half","dozen"
"a half hour",17,7.27566866604895e-06,"a","half","hour"
"a half of",5,2.13990254883793e-06,"a","half","of"
"a half years",6,2.56788305860551e-06,"a","half","years"
"a hand in",5,2.13990254883793e-06,"a","hand","in"
"a handful of",42,1.79751814102386e-05,"a","handful","of"
"a hands on",6,2.56788305860551e-06,"a","hands","on"
"a happy birthday",8,3.42384407814068e-06,"a","happy","birthday"
"a happy camper",6,2.56788305860551e-06,"a","happy","camper"
"a hard time",21,8.98759070511929e-06,"a","hard","time"
"a heart attack",16,6.84768815628136e-06,"a","heart","attack"
"a heck of",6,2.56788305860551e-06,"a","heck","of"
"a hell of",8,3.42384407814068e-06,"a","hell","of"
"a herd of",6,2.56788305860551e-06,"a","herd","of"
"a high level",5,2.13990254883793e-06,"a","high","level"
"a high school",20,8.5596101953517e-06,"a","high","school"
"a hint of",11,4.70778560744344e-06,"a","hint","of"
"a history of",12,5.13576611721102e-06,"a","history","of"
"a hit with",5,2.13990254883793e-06,"a","hit","with"
"a hold of",7,2.9958635683731e-06,"a","hold","of"
"a hole in",8,3.42384407814068e-06,"a","hole","in"
"a home and",6,2.56788305860551e-06,"a","home","and"
"a home for",6,2.56788305860551e-06,"a","home","for"
"a home in",12,5.13576611721102e-06,"a","home","in"
"a home run",12,5.13576611721102e-06,"a","home","run"
"a host of",9,3.85182458790827e-06,"a","host","of"
"a house in",5,2.13990254883793e-06,"a","house","in"
"a huge amount",6,2.56788305860551e-06,"a","huge","amount"
"a huge chunk",5,2.13990254883793e-06,"a","huge","chunk"
"a huge fan",13,5.56374662697861e-06,"a","huge","fan"
"a huge success",5,2.13990254883793e-06,"a","huge","success"
"a human being",11,4.70778560744344e-06,"a","human","being"
"a job and",6,2.56788305860551e-06,"a","job","and"
"a job as",6,2.56788305860551e-06,"a","job","as"
"a job in",5,2.13990254883793e-06,"a","job","in"
"a job that",6,2.56788305860551e-06,"a","job","that"
"a job to",6,2.56788305860551e-06,"a","job","to"
"a joy to",5,2.13990254883793e-06,"a","joy","to"
"a kind of",28,1.19834542734924e-05,"a","kind","of"
"a la carte",5,2.13990254883793e-06,"a","la","carte"
"a lack of",32,1.36953763125627e-05,"a","lack","of"
"a laptop computer",5,2.13990254883793e-06,"a","laptop","computer"
"a large bowl",18,7.70364917581653e-06,"a","large","bowl"
"a large number",7,2.9958635683731e-06,"a","large","number"
"a large pot",6,2.56788305860551e-06,"a","large","pot"
"a last minute",8,3.42384407814068e-06,"a","last","minute"
"a late night",11,4.70778560744344e-06,"a","late","night"
"a lead and",5,2.13990254883793e-06,"a","lead","and"
"a lead in",5,2.13990254883793e-06,"a","lead","in"
"a leader in",10,4.27980509767585e-06,"a","leader","in"
"a letter from",8,3.42384407814068e-06,"a","letter","from"
"a letter to",12,5.13576611721102e-06,"a","letter","to"
"a life of",15,6.41970764651378e-06,"a","life","of"
"a life that",6,2.56788305860551e-06,"a","life","that"
"a lifetime of",9,3.85182458790827e-06,"a","lifetime","of"
"a line of",10,4.27980509767585e-06,"a","line","of"
"a link to",18,7.70364917581653e-06,"a","link","to"
"a list of",36,1.54072983516331e-05,"a","list","of"
"a little and",8,3.42384407814068e-06,"a","little","and"
"a little better",13,5.56374662697861e-06,"a","little","better"
"a little bit",124,5.30695832111806e-05,"a","little","bit"
"a little different",11,4.70778560744344e-06,"a","little","different"
"a little extra",6,2.56788305860551e-06,"a","little","extra"
"a little girl",15,6.41970764651378e-06,"a","little","girl"
"a little help",6,2.56788305860551e-06,"a","little","help"
"a little late",7,2.9958635683731e-06,"a","little","late"
"a little less",14,5.99172713674619e-06,"a","little","less"
"a little like",7,2.9958635683731e-06,"a","little","like"
"a little longer",10,4.27980509767585e-06,"a","little","longer"
"a little more",67,2.86746941544282e-05,"a","little","more"
"a little of",8,3.42384407814068e-06,"a","little","of"
"a little over",14,5.99172713674619e-06,"a","little","over"
"a little something",11,4.70778560744344e-06,"a","little","something"
"a little time",6,2.56788305860551e-06,"a","little","time"
"a little too",16,6.84768815628136e-06,"a","little","too"
"a little while",19,8.13162968558412e-06,"a","little","while"
"a long and",8,3.42384407814068e-06,"a","long","and"
"a long day",19,8.13162968558412e-06,"a","long","day"
"a long history",5,2.13990254883793e-06,"a","long","history"
"a long line",7,2.9958635683731e-06,"a","long","line"
"a long long",7,2.9958635683731e-06,"a","long","long"
"a long shot",6,2.56788305860551e-06,"a","long","shot"
"a long term",12,5.13576611721102e-06,"a","long","term"
"a long time",133,5.69214077990888e-05,"a","long","time"
"a long walk",6,2.56788305860551e-06,"a","long","walk"
"a long way",25,1.06995127441896e-05,"a","long","way"
"a long week",6,2.56788305860551e-06,"a","long","week"
"a long weekend",6,2.56788305860551e-06,"a","long","weekend"
"a long while",5,2.13990254883793e-06,"a","long","while"
"a look around",5,2.13990254883793e-06,"a","look","around"
"a look at",31,1.32673958027951e-05,"a","look","at"
"a los angeles",6,2.56788305860551e-06,"a","los","angeles"
"a loss of",13,5.56374662697861e-06,"a","loss","of"
"a lot a",5,2.13990254883793e-06,"a","lot","a"
"a lot about",26,1.11274932539572e-05,"a","lot","about"
"a lot and",13,5.56374662697861e-06,"a","lot","and"
"a lot better",15,6.41970764651378e-06,"a","lot","better"
"a lot but",7,2.9958635683731e-06,"a","lot","but"
"a lot for",11,4.70778560744344e-06,"a","lot","for"
"a lot from",10,4.27980509767585e-06,"a","lot","from"
"a lot i",15,6.41970764651378e-06,"a","lot","i"
"a lot in",10,4.27980509767585e-06,"a","lot","in"
"a lot it",6,2.56788305860551e-06,"a","lot","it"
"a lot less",10,4.27980509767585e-06,"a","lot","less"
"a lot like",19,8.13162968558412e-06,"a","lot","like"
"a lot more",52,2.22549865079144e-05,"a","lot","more"
"a lot of",676,0.000289314824602888,"a","lot","of"
"a lot on",5,2.13990254883793e-06,"a","lot","on"
"a lot to",43,1.84031619200062e-05,"a","lot","to"
"a love of",7,2.9958635683731e-06,"a","love","of"
"a love song",6,2.56788305860551e-06,"a","love","song"
"a loved one",6,2.56788305860551e-06,"a","loved","one"
"a lovely day",6,2.56788305860551e-06,"a","lovely","day"
"a major league",5,2.13990254883793e-06,"a","major","league"
"a majority of",13,5.56374662697861e-06,"a","majority","of"
"a man and",10,4.27980509767585e-06,"a","man","and"
"a man by",5,2.13990254883793e-06,"a","man","by"
"a man in",8,3.42384407814068e-06,"a","man","in"
"a man is",8,3.42384407814068e-06,"a","man","is"
"a man of",13,5.56374662697861e-06,"a","man","of"
"a man that",5,2.13990254883793e-06,"a","man","that"
"a man to",5,2.13990254883793e-06,"a","man","to"
"a man who",29,1.241143478326e-05,"a","man","who"
"a man with",9,3.85182458790827e-06,"a","man","with"
"a masters degree",5,2.13990254883793e-06,"a","masters","degree"
"a matter of",59,2.52508500762875e-05,"a","matter","of"
"a maximum of",5,2.13990254883793e-06,"a","maximum","of"
"a means for",10,4.27980509767585e-06,"a","means","for"
"a means of",6,2.56788305860551e-06,"a","means","of"
"a means to",6,2.56788305860551e-06,"a","means","to"
"a measure of",5,2.13990254883793e-06,"a","measure","of"
"a meeting of",6,2.56788305860551e-06,"a","meeting","of"
"a meeting with",7,2.9958635683731e-06,"a","meeting","with"
"a member of",73,3.12425772130337e-05,"a","member","of"
"a message on",6,2.56788305860551e-06,"a","message","on"
"a message to",6,2.56788305860551e-06,"a","message","to"
"a mi run",10,4.27980509767585e-06,"a","mi","run"
"a middle school",6,2.56788305860551e-06,"a","middle","school"
"a mile run",5,2.13990254883793e-06,"a","mile","run"
"a million dollars",5,2.13990254883793e-06,"a","million","dollars"
"a million years",5,2.13990254883793e-06,"a","million","years"
"a minimum of",6,2.56788305860551e-06,"a","minimum","of"
"a minute and",5,2.13990254883793e-06,"a","minute","and"
"a minute i",5,2.13990254883793e-06,"a","minute","i"
"a minute or",6,2.56788305860551e-06,"a","minute","or"
"a minute to",6,2.56788305860551e-06,"a","minute","to"
"a mission to",8,3.42384407814068e-06,"a","mission","to"
"a mix of",19,8.13162968558412e-06,"a","mix","of"
"a mixed bag",6,2.56788305860551e-06,"a","mixed","bag"
"a mixture of",14,5.99172713674619e-06,"a","mixture","of"
"a moment of",12,5.13576611721102e-06,"a","moment","of"
"a moment that",5,2.13990254883793e-06,"a","moment","that"
"a moment to",14,5.99172713674619e-06,"a","moment","to"
"a month after",6,2.56788305860551e-06,"a","month","after"
"a month ago",19,8.13162968558412e-06,"a","month","ago"
"a month and",5,2.13990254883793e-06,"a","month","and"
"a month i",8,3.42384407814068e-06,"a","month","i"
"a month in",6,2.56788305860551e-06,"a","month","in"
"a month later",7,2.9958635683731e-06,"a","month","later"
"a month old",12,5.13576611721102e-06,"a","month","old"
"a month or",9,3.85182458790827e-06,"a","month","or"
"a month to",6,2.56788305860551e-06,"a","month","to"
"a more stable",5,2.13990254883793e-06,"a","more","stable"
"a move to",6,2.56788305860551e-06,"a","move","to"
"a movie about",7,2.9958635683731e-06,"a","movie","about"
"a movie in",5,2.13990254883793e-06,"a","movie","in"
"a movie with",6,2.56788305860551e-06,"a","movie","with"
"a much better",12,5.13576611721102e-06,"a","much","better"
"a much more",14,5.99172713674619e-06,"a","much","more"
"a much needed",11,4.70778560744344e-06,"a","much","needed"
"a much smaller",5,2.13990254883793e-06,"a","much","smaller"
"a multitude of",7,2.9958635683731e-06,"a","multitude","of"
"a must read",7,2.9958635683731e-06,"a","must","read"
"a name for",8,3.42384407814068e-06,"a","name","for"
"a need for",8,3.42384407814068e-06,"a","need","for"
"a network of",6,2.56788305860551e-06,"a","network","of"
"a new album",5,2.13990254883793e-06,"a","new","album"
"a new and",7,2.9958635683731e-06,"a","new","and"
"a new book",7,2.9958635683731e-06,"a","new","book"
"a new car",7,2.9958635683731e-06,"a","new","car"
"a new challenge",5,2.13990254883793e-06,"a","new","challenge"
"a new computer",5,2.13990254883793e-06,"a","new","computer"
"a new day",9,3.85182458790827e-06,"a","new","day"
"a new era",5,2.13990254883793e-06,"a","new","era"
"a new generation",5,2.13990254883793e-06,"a","new","generation"
"a new home",13,5.56374662697861e-06,"a","new","home"
"a new job",8,3.42384407814068e-06,"a","new","job"
"a new name",5,2.13990254883793e-06,"a","new","name"
"a new one",13,5.56374662697861e-06,"a","new","one"
"a new phone",9,3.85182458790827e-06,"a","new","phone"
"a new place",5,2.13990254883793e-06,"a","new","place"
"a new school",5,2.13990254883793e-06,"a","new","school"
"a new song",13,5.56374662697861e-06,"a","new","song"
"a new study",6,2.56788305860551e-06,"a","new","study"
"a new tv",5,2.13990254883793e-06,"a","new","tv"
"a new version",5,2.13990254883793e-06,"a","new","version"
"a new way",5,2.13990254883793e-06,"a","new","way"
"a new york",21,8.98759070511929e-06,"a","new","york"
"a news conference",16,6.84768815628136e-06,"a","news","conference"
"a news release",10,4.27980509767585e-06,"a","news","release"
"a nice day",5,2.13990254883793e-06,"a","nice","day"
"a nice way",8,3.42384407814068e-06,"a","nice","way"
"a night in",8,3.42384407814068e-06,"a","night","in"
